,nome,coordenadas,localiza__oLabel,imagem,DGPC_ID,informação
0,Área Arqueológica do Freixo,Point(-8.14722222 41.16166667),Marco,http://commons.wikimedia.org/wiki/Special:FilePath/Pedra%20Formosa%20Tongobriga%2001.jpg,69712.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/69712
1,Zona Central da Cidade de Angra do Heroísmo,Point(-27.22 38.655),Sé,http://commons.wikimedia.org/wiki/Special:FilePath/Terceira%20CathedralAngra.jpg,,http://www.google.com/search?q=Zona%20Central%20da%20Cidade%20de%20Angra%20do%20Heroísmo
2,Villa lusitano-romana de Torre de Palma,Point(-7.488638 39.062032),Vaiamonte,http://commons.wikimedia.org/wiki/Special:FilePath/Torre%20de%20Palma.JPG,70272.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/70272
3,Villa Cardillio,Point(-8.52791667 39.45289722),"Torres Novas (Santa Maria, Salvador e Santiago)",http://commons.wikimedia.org/wiki/Special:FilePath/Vila%20Card%C3%ADlio%20em%20Torres%20Novas.jpg,69757.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/69757
4,Via romana de Braga a Tui,Point(-8.561831 41.745723),Arcozelo,http://commons.wikimedia.org/wiki/Special:FilePath/Via%20XIX%20bridgetop.JPG,70579.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/70579
5,"Via romana Braga incerta via (21 marcos miliários, Série Capela)",Point(-8.427733 41.546437),"Braga (Maximinos, Sé e Cividade)",http://commons.wikimedia.org/wiki/Special:FilePath/Marcos%20milenares-Museu%20D%20Diogo%20de%20Sousa.jpg,70321.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/70321
6,"Via romana Braga incerta via (21 marcos miliários, Série Capela)",Point(-8.427733 41.546437),"Braga (Maximinos, Sé e Cividade)",http://commons.wikimedia.org/wiki/Special:FilePath/Marcos%20milenares-Museu%20D%20Diogo%20de%20Sousa.jpg,6723308.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/6723308
7,University of Coimbra – Alta and Sofia,Point(-8.425775 40.20781111),"Coimbra (Sé Nova, Santa Cruz, Almedina e São Bartolomeu)",http://commons.wikimedia.org/wiki/Special:FilePath/Coimbra%20December%202011-19a.jpg,15731244.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/15731244
8,Universidade de Évora,Point(-7.90427 38.573),"União das Freguesias de Évora (São Mamede, Sé, São Pedro e Santo Antão)",http://commons.wikimedia.org/wiki/Special:FilePath/Universidade%20de%20%C3%89vora%20-%20Claustro%20geral%20dos%20Estudos%20%282%29.jpg,69788.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/69788
9,Túmulo de Fernão Gomes de Góis,Point(-7.966828 40.439363),Oliveira do Conde,http://commons.wikimedia.org/wiki/Special:FilePath/Igreja%20Matriz%20Oliveira%20do%20Conde%20IMG%200995.jpg,70599.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/70599
10,Túmulo de Damião de Góis,Point(-9.01059345 39.05458603),Alenquer (Santo Estêvão e Triana),http://commons.wikimedia.org/wiki/Special:FilePath/T%C3%BAmulo%20de%20Dami%C3%A3o%20de%20G%C3%B3is%2004.jpg,69804.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/69804
11,Túmulo de D. Sesnando,Point(-8.427171 40.208811),"Coimbra (Sé Nova, Santa Cruz, Almedina e São Bartolomeu)",http://commons.wikimedia.org/wiki/Special:FilePath/Sisnando%20Davides%20tomb%20-%20S%C3%A9%20Velha%20-%20Coimbra%2C%20Portugal%20-%20DSC09805.jpg,16870740.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/16870740
12,Torre dos Clérigos,Point(-8.614615 41.145693),"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",http://commons.wikimedia.org/wiki/Special:FilePath/Torre%20de%20los%20Cl%C3%A9rigos%2C%20Oporto%2C%20Portugal%2C%202012-05-09%2C%20DD%2001.JPG,,http://www.google.com/search?q=Torre%20dos%20Clérigos
13,Torre do Relógio (Caminha),Point(-8.83897222 41.87611111),Caminha (Matriz) e Vilarelho,http://commons.wikimedia.org/wiki/Special:FilePath/Torre%20do%20Relogio%20-%20Caminha.JPG,70681.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/70681
14,Torre de Ucanha,Point(-7.74729 41.048444),Gouviães e Ucanha,http://commons.wikimedia.org/wiki/Special:FilePath/Torre%20de%20Ucanha.JPG,70487.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/70487
15,Torre de Quintela,Point(-7.78051944 41.29735556),Vila Marim,http://commons.wikimedia.org/wiki/Special:FilePath/Torre%20de%20Quintela.JPG,70323.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/70323
16,Torre de Lapela,Point(-8.53805556 42.05644444),Troporiz e Lapela,http://commons.wikimedia.org/wiki/Special:FilePath/Lapela.JPG,71196.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/71196
17,Torre de Belém,Point(-9.215833333 38.691388888),Belém,http://commons.wikimedia.org/wiki/Special:FilePath/Belem%20Tower%20-%20April%202019%20%282%29.jpg,323060.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/323060
18,Torre de Anto,Point(-8.428349 40.209864),"Coimbra (Sé Nova, Santa Cruz, Almedina e São Bartolomeu)",http://commons.wikimedia.org/wiki/Special:FilePath/TorreAnto2.jpg,70528.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/70528
19,Torre das Águias,Point(-8.126502 38.874968),Brotas,http://commons.wikimedia.org/wiki/Special:FilePath/Torre%20das%20Aguias%201.jpg,70383.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/70383
20,Torre das Cabaças,Point(-8.68017 39.235689),"Santarém (Marvila), Santa Iria da Ribeira de Santarém, Santarém (São Salvador) e Santarém (São Nicolau)",http://commons.wikimedia.org/wiki/Special:FilePath/Torre%20caba%C3%A7as%201.jpg,70603.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/70603
21,Torre da Porta Nova,Point(-8.61969167 41.53080833),"União das Freguesias de Barcelos, Vila Boa e Vila Frescainha (São Martinho e São Pedro)",http://commons.wikimedia.org/wiki/Special:FilePath/Torre%20de%20Barcelos%20%289590194178%29.jpg,70515.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/70515
22,Torre Pentagonal (Évora),Point(-7.907672 38.573463),"União das Freguesias de Évora (São Mamede, Sé, São Pedro e Santo Antão)",http://commons.wikimedia.org/wiki/Special:FilePath/Torre%20da%20muralha.jpg,70297.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/70297
23,Torre Pedro-Sem,Point(-8.625 41.1492),Lordelo do Ouro e Massarelos,http://commons.wikimedia.org/wiki/Special:FilePath/Torre%20de%20Pedro%20Sem.JPG,70203.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/70203
24,Tomb of D. Rodrigo Sanches,Point(-8.579584 41.028698),Grijó e Sermonde,http://commons.wikimedia.org/wiki/Special:FilePath/D.%20Rodrio%20Sanches.JPG,70605.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/70605
25,"Tomb of D. João de Noronha, o Moço",Point(-9.156607 39.361575),"Santa Maria, São Pedro e Sobral da Lagoa",http://commons.wikimedia.org/wiki/Special:FilePath/T%C3%BAmulo%20de%20D.%20Jo%C3%A3o%20de%20Noronha%2C%20o%20Mo%C3%A7o%20%28%C3%93bidos%29.jpg,70667.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/70667
26,Terreiro da Batalha de Montes Claros,Point(-7.472006797 38.764068603),Rio de Moinhos,http://commons.wikimedia.org/wiki/Special:FilePath/Padr%C3%A3o%20da%20Batalha%20de%20Montes%20Claros.jpg,8891555.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/8891555
27,Termas romanas de Maximinos,Point(-8.42958889 41.54628889),"Braga (Maximinos, Sé e Cividade)",http://commons.wikimedia.org/wiki/Special:FilePath/Termas%20de%20Maximinos.JPG,69713.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/69713
28,Termas Romanas de São Pedro do Sul,Point(-8.090954 40.73933),"São Pedro do Sul, Várzea e Baiões",http://commons.wikimedia.org/wiki/Special:FilePath/S%C3%A3o%20Pedro%20do%20Sul%20-%20Termas%20romanas%200400.jpg,69845.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/69845
