,nome,imagem,coordenadas,localidade,informação,data_criacao
0,Museu de História Natural e da Ciência da Universidade do Porto,http://commons.wikimedia.org/wiki/Special:FilePath/Galeria%20da%20Biodiversidade%20%2826%29.jpg,Point(-8.615649 41.146823),Porto,http://www.google.com/search?q=Museu%20de%20História%20Natural%20e%20da%20Ciência%20da%20Universidade%20do%20Porto,Desconhecida
1,Casa-Museu Carlos Relvas,http://commons.wikimedia.org/wiki/Special:FilePath/Casa-est%C3%BAdio%20Carlos%20Relvas%20-%20Goleg%C3%A3%20-%20Portugal%20%286522571525%29.jpg,Point(-8.488561111 39.402202777),Golegã,http://www.google.com/search?q=Casa-Museu%20Carlos%20Relvas,Desconhecida
2,Igreja Matriz de Castro Verde,http://commons.wikimedia.org/wiki/Special:FilePath/Igreja%20Matriz%20de%20Castro%20Verde%20-%20Portugal%20%2810251527113%29%20%28cropped%29.jpg,Point(-8.081913 37.69781),Castro Verde e Casével,http://www.google.com/search?q=Igreja%20Matriz%20de%20Castro%20Verde,1573-01-01T00:00:00Z
3,Igreja Matriz de Castro Verde,http://commons.wikimedia.org/wiki/Special:FilePath/Igreja%20Matriz%20de%20Castro%20Verde%20-%20Portugal%20%2810251527113%29%20%28cropped%29.jpg,Point(-8.081913 37.69781),Castro Verde e Casével,http://www.google.com/search?q=Igreja%20Matriz%20de%20Castro%20Verde,1735-01-01T00:00:00Z
4,Solar dos Goulões,http://commons.wikimedia.org/wiki/Special:FilePath/Museu%20do%20Canteiro.jpg,Point(-7.454775 39.915077),Alcains,http://www.google.com/search?q=Solar%20dos%20Goulões,Desconhecida
5,Edifício do Compromisso Marítimo,http://commons.wikimedia.org/wiki/Special:FilePath/Museu%20Municipal%20em%20Olh%C3%A3o%2002.jpg,Point(-7.841077 37.025962),Olhão,http://www.google.com/search?q=Edifício%20do%20Compromisso%20Marítimo,Desconhecida
6,Palácio Azurara,http://commons.wikimedia.org/wiki/Special:FilePath/Museu%20Artes%20Decorativas.jpg,Point(-9.130605 38.712039),Santa Maria Maior,http://www.google.com/search?q=Palácio%20Azurara,Desconhecida
7,Museu do Oriente,http://commons.wikimedia.org/wiki/Special:FilePath/Museu%20do%20Oriente.jpg,Point(-9.170574 38.702899),Alcântara,http://www.museudooriente.pt/,Desconhecida
8,Igreja de Santa Maria (Santa Maria de Marvão),http://commons.wikimedia.org/wiki/Special:FilePath/Marv%C3%A3o%20Santa%20Maria%20957.jpg,Point(-7.378381 39.394588),Santa Maria de Marvão,http://www.google.com/search?q=Igreja%20de%20Santa%20Maria%20(Santa%20Maria%20de%20Marvão),Desconhecida
9,"Estação ferroviária e edifício da Cocheira de Carruagens, atuais instalações do Núcleo Museológico de Santarém do Museu Nacional Ferroviário",http://commons.wikimedia.org/wiki/Special:FilePath/Esta%C3%A7%C3%A3o%20de%20Santar%C3%A9m%20%285012337474%29.jpg,Point(-8.675119 39.242131),"Santarém (Marvila), Santa Iria da Ribeira de Santarém, Santarém (São Salvador) e Santarém (São Nicolau)","http://www.google.com/search?q=Estação%20ferroviária%20e%20edifício%20da%20Cocheira%20de%20Carruagens,%20atuais%20instalações%20do%20Núcleo%20Museológico%20de%20Santarém%20do%20Museu%20Nacional%20Ferroviário",Desconhecida
10,Igreja da Misericórdia de Alcochete,http://commons.wikimedia.org/wiki/Special:FilePath/Igreja%20da%20Miseric%C3%B3rdia%20-%20Alcochete%20-%20Portugal%20%282060851596%29.jpg,Point(-8.963708 38.756016),Alcochete,http://www.google.com/search?q=Igreja%20da%20Misericórdia%20de%20Alcochete,Desconhecida
11,Casa Museu Fernando Namora,http://commons.wikimedia.org/wiki/Special:FilePath/Casa%20Museu%20Fernando%20Namora.JPG,Point(-8.499624 40.112662),Condeixa-a-Velha e Condeixa-a-Nova,http://www.google.com/search?q=Casa%20Museu%20Fernando%20Namora,Desconhecida
12,"Fábrica do Inglês, Silves",http://commons.wikimedia.org/wiki/Special:FilePath/Silves%20-%20F%C3%A1brica%20do%20Ingl%C3%AAs%20%282%29.jpg,Point(-8.435454 37.190442),Silves,"http://www.google.com/search?q=Fábrica%20do%20Inglês,%20Silves",Desconhecida
13,Museu Municipal do Crato,http://commons.wikimedia.org/wiki/Special:FilePath/Crato%20%28144197216%29.jpg,Point(-7.645657 39.285482),Crato,http://www.google.com/search?q=Museu%20Municipal%20do%20Crato,Desconhecida
14,Casa da Cultura de Elvas,http://commons.wikimedia.org/wiki/Special:FilePath/31200-Elvas%20%2848749242607%29.jpg,Point(-7.163758 38.88026),"Caia, São Pedro e Alcáçova",http://www.google.com/search?q=Casa%20da%20Cultura%20de%20Elvas,Desconhecida
15,Museu da Sociedade Martins Sarmento,http://commons.wikimedia.org/wiki/Special:FilePath/0%20Soc%20Martins%20Sarmento%20IMG%202453.jpg,Point(-8.296447 41.442782),"Oliveira, São Paio e São Sebastião",http://www.google.com/search?q=Museu%20da%20Sociedade%20Martins%20Sarmento,Desconhecida
16,Casa da Cultura de Marvão,http://commons.wikimedia.org/wiki/Special:FilePath/Marv%C3%A3o%20-%20Portugal%20%2846147650315%29.jpg,Point(-7.376339 39.394166),Marvão,http://www.google.com/search?q=Casa%20da%20Cultura%20de%20Marvão,Desconhecida
17,Conjunto constituido pela Igreja de Santo António de Frades Capuchos e pela Igreja da Ordem Terceira de São Francisco,http://commons.wikimedia.org/wiki/Special:FilePath/Igreja%20da%20Ordem%20dos%20Terceiros%20de%20Santo%20Ant%C3%B3nio%20-%20Ponte%20de%20Lima%20-%20Portugal%20%2818706141216%29.jpg,Point(-8.586994444 41.764711111),Arca e Ponte de Lima,http://www.google.com/search?q=Conjunto%20constituido%20pela%20Igreja%20de%20Santo%20António%20de%20Frades%20Capuchos%20e%20pela%20Igreja%20da%20Ordem%20Terceira%20de%20São%20Francisco,Desconhecida
18,Centro de Memória (Vila do Conde),http://commons.wikimedia.org/wiki/Special:FilePath/Centro%20de%20Mem%C3%B3ria%20%28Vila%20do%20Conde%29%2002.jpg,Point(-8.741886 41.357253),Vila do Conde,http://www.google.com/search?q=Centro%20de%20Memória%20(Vila%20do%20Conde),Desconhecida
19,Centro de Educação Ambiental (Torres Vedras),http://commons.wikimedia.org/wiki/Special:FilePath/Centro%20de%20Educa%C3%A7%C3%A3o%20Ambiental%20-%20Torres%20Vedras%20-%20Portugal%20%2839619617351%29.jpg,Point(-9.263948 39.085602),"Santa Maria, São Pedro e Matacães",http://www.google.com/search?q=Centro%20de%20Educação%20Ambiental%20(Torres%20Vedras),2004-01-01T00:00:00Z
20,Casa do Corpo Santo,http://commons.wikimedia.org/wiki/Special:FilePath/Casa%20do%20Corpo%20Santo%20-%20Set%C3%BAbal%20-%20Portugal%20%2849732408332%29.jpg,Point(-8.88788 38.524722),"Setúbal (São Julião, Nossa Senhora da Anunciada e Santa Maria da Graça)",http://www.google.com/search?q=Casa%20do%20Corpo%20Santo,Desconhecida
21,"Municipal museum of archaeology, Albufeira",http://commons.wikimedia.org/wiki/Special:FilePath/2017-11-07%20A%20canon%20barrel%20recovered%20from%20the%20sea%20near%20Albufeira%2C%20Municipal%20Archaeology%20Museum.JPG,Point(-8.25216 37.087084),Albufeira e Olhos de Água,"http://www.google.com/search?q=Municipal%20museum%20of%20archaeology,%20Albufeira",Desconhecida
22,Centro Interpretativo do Mosteiro de Santa Clara-a-Velha,http://commons.wikimedia.org/wiki/Special:FilePath/Centro%20Interpretativo%20do%20Mosteiro%20de%20Santa%20Clara-a-Velha%2002.jpg,Point(-8.432311 40.201401),Coimbra,http://www.google.com/search?q=Centro%20Interpretativo%20do%20Mosteiro%20de%20Santa%20Clara-a-Velha,Desconhecida
23,Museu Municipal Leonel Trindade de Torres Vedras,http://commons.wikimedia.org/wiki/Special:FilePath/Museum-Torres-Vedras-2008.JPG,Point(-9.259106 39.090271),"Santa Maria, São Pedro e Matacães",http://www.google.com/search?q=Museu%20Municipal%20Leonel%20Trindade%20de%20Torres%20Vedras,Desconhecida
24,Casa da Memória da Presença Judaica em Castelo Branco,http://commons.wikimedia.org/wiki/Special:FilePath/Casa%20da%20Mem%C3%B3ria%20da%20Presen%C3%A7a%20Judaica%20em%20Castelo%20Branco%20-%20Portugal%20%2849239799163%29.jpg,Point(-7.492898 39.82721),Castelo Branco,http://www.casadamemoriajudaica.com/,Desconhecida
25,Museu do Vinho do Porto,http://commons.wikimedia.org/wiki/Special:FilePath/CRAT%201%20%28Porto%29.JPG,Point(-8.615122222 41.140141666),"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",http://visitasvirtuais.cm-porto.pt/mvp_ec.php,Desconhecida
26,CIART Centro de Interpretação de Arte Rupestre do Vale do Tejo,http://commons.wikimedia.org/wiki/Special:FilePath/Pelourinho%20de%20Vila%20Velha%20de%20R%C3%B3d%C3%A3o%2002.jpg,Point(-7.677732 39.65863),Vila Velha de Ródão,http://www.google.com/search?q=CIART%20Centro%20de%20Interpretação%20de%20Arte%20Rupestre%20do%20Vale%20do%20Tejo,Desconhecida
27,Museu dos Têxteis MUTEX,http://commons.wikimedia.org/wiki/Special:FilePath/Museu%20dos%20Texteis%20-%20MUTEX%2010.jpg,Point(-7.571021 39.750273),Cebolais de Cima e Retaxo,http://www.google.com/search?q=Museu%20dos%20Têxteis%20MUTEX,Desconhecida
28,Casa dos Nichos,http://commons.wikimedia.org/wiki/Special:FilePath/Casa%20dos%20Nichos%20in%20Viana%20do%20Castelo%20%282%29.jpg,Point(-8.827742 41.691856),Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela,http://www.google.com/search?q=Casa%20dos%20Nichos,Desconhecida
29,Museu da Escola (Ribeira de Pena),http://commons.wikimedia.org/wiki/Special:FilePath/Museu%20da%20Escola%20%28Ribeira%20de%20Pena%29%20%283%29.jpg,Point(-7.793638888 41.519361111),Ribeira de Pena,https://cm-rpena.pt/ecomuseu/?id=5,2016-08-04T00:00:00Z
